URL,Title,Desire points,Status,Date of application,Contact back,First interview,Second interview,Third interview
https://www.linkedin.com/jobs/view/3789411497/?alternateChannel=search&refId=FHC7JQz6z%2BCjYfefPQDQ9w%3D%3D&trackingId=yCsCFQXK%2FkI1tp0SN7Va%2FA%3D%3D,Senior AI Developer,6,rejected,26.12.2023,24.01.2024,,,
https://boards.greenhouse.io/yousician/jobs/7074282002,Data Scientist,6,rejected,27.12.2023,11.01.2024,,,
https://www.linkedin.com/jobs/view/3788247359/?refId=1BKVWFGwTJKITS%2B69ZPU%2FQ%3D%3D&trackingId=Cqh8JE0VQge3Na2w1XDqZA%3D%3D,"Senior Data Scientist to Financial Crime Investigation, Intelligence & Analytics",7,not answered,28.12.2023,,,,
https://www.linkedin.com/jobs/view/3786710464/?eBP=CwEAAAGMxYkUuSHCjr0Rg_trRx6JBZHLmxJf-2OXHbOOaCqYedorr6G_HJRCuiRdcMEPivvraLlcgoSwiG1V2DUvx84cBoFUwkwGrQurbTZjBsPJbbRBlRdNJqjBLbDDxEZAvU7HazEbS53bV34yBA6Bor8jbumByUV4wn2PK4Usu384381V70yVyuw3Ri0haAHToAs6Yg2RRm9eKK4RMGSnrTAdrck4bxzlQ1RMtoK9VVLMV5AXTE0Pqde19O5H2PdOEzStNfvYURQiroClFZdSy-tbSpr3xH3dOzhKA1OmXO1GZhGwdcVg-8-QqDoJa3bgPrfgv-5yKQKFPjCckjpjEflfUK8pviHz72wS8jpmm9wjuapquR5aMgK4RESdHUUP5tH23KiJINxSDxmB2PuWv8YfL3vprtc&refId=as5m6ne5wDKBwF84Na7NEQ%3D%3D&trackingId=noVngKWzY0MPC1jvPSUPaQ%3D%3D&trk=flagship3_search_srp_jobs,Senior Data Scientist,6,rejected,01.01.2024,16.01.2024,,,
https://www.linkedin.com/jobs/view/3788673384/?alternateChannel=search&refId=%2B91pxAn2G68CYv8Y%2FWw61g%3D%3D&trackingId=INGI2KrMojY2slN8%2BG4%2F5A%3D%3D&trk=d_flagship3_jobs_discovery_jymbii,"Data Scientist, Performance Marketing",6,rejected,02.01.2024,19.01.2024,,,
https://www.linkedin.com/jobs/view/3739107685/?alternateChannel=search&refId=S%2BkZiPpa9mbdEEvn4Hn4kQ%3D%3D&trackingId=iFup5Sz8cfJGI%2Fw3i3Yi%2Fw%3D%3D,"Lead Data Scientist, multiple domains",7,rejected,02.01.2024,09.01.2024,,,
https://careers.wapice.com/en-GB/jobs/3442633-data-science-team-leader,Data Science Team Leader,6,not answered,02.01.2024,,,,
https://www.linkedin.com/jobs/view/3796911314/?alternateChannel=search&refId=6%2FYSgfE%2BmcRUk75jPI6CwA%3D%3D&trackingId=ZDVX7ejjKIB7IdEVTBDByQ%3D%3D,Data Scientist,7,not answered,03.01.2024,,,,
https://www.linkedin.com/jobs/view/3798098208/?refId=e6eb8a85-3081-4c73-8356-de44753ddd7c&trackingId=y%2BWs17WnRt6gzXUzVcQZLw%3D%3D&trk=flagship3_job_home_savedjobs,Senior AI developer,5,not answered,07.01.2024,,,,
https://www.linkedin.com/jobs/view/3799020224/?refId=ffb78926-1ef8-4f94-a4f8-9cb52e3ee16e&trackingId=NQcqLag7QSiBb1fZLG23PQ%3D%3D,Signal Processing Engineer,6,ongoing,08.01.2024,09.01.2024,17.01.2024,25.01.2024,31.01.2024
https://www.linkedin.com/jobs/view/3797843252/?refId=5XZi5LoXStqaZzKx%2BEYwQw%3D%3D&trackingId=MIJHGaJwQ76dbkLctq%2F54g%3D%3D,AI lead,7,not answered,08.01.2024,,,,
